freebase:id,wikipedia:id,viaf:id,lcnaf:id,moma:id,vanda:id,ima:id,ch:id,ch:name
/m/084_bc,2823584,0,0,0,0,0,18044009,"Vivianna Torun Bülow-Hübe"
,6761382,0,0,1196,0,0,18044019,"Joe Colombo"
/m/080n505,24775951,0,0,6129,0,0,18044027,"Paolo Venini"
,1250573,0,0,0,0,0,18044031,Sasaki
,15469973,0,0,0,0,0,18044043,"Robert Crawford Johnson"
/m/0843_d,2809986,0,0,4119,0,0,18044047,"Koloman Moser"
,3420071,0,0,0,0,0,18044063,Degler
/m/0615pm,1853796,0,0,1968,0,0,18044083,"Kaj Franck"
/m/058xw_,1539302,0,0,4384,0,0,18044085,"George  E. Ohr"
/m/03c50dm,13428974,0,0,0,0,0,18044095,"Richard Notkin"
,5323081,0,0,0,0,0,18044099,"Mintons Ltd."
,2829121,0,0,0,0,0,18044103,"William Taylor"
,1787488,0,0,0,0,0,18044123,"Jørgen Jensen"
,18423857,0,0,0,0,0,18044125,Holdcroft
/m/03lr0g,885576,0,0,0,60764,0,18044143,"Hans Collaert"
/m/0b2_lt,3845590,0,0,0,0,0,18044155,"Viktor Schreckengost"
,1028472,0,0,438,0,18300267,18044161,"Peter Behrens"
,4507710,0,0,0,0,0,18044163,"Wertheim Department Store"
,24271218,0,0,0,0,0,18044177,"Charles Baskerville"
,3370068,0,0,0,0,0,18044179,"Jean Cros"
/m/0fq0pyc,29723392,0,0,0,0,0,18044181,"John Wakelin"
/m/02rpy30,11716189,0,0,0,0,0,18044191,"Childs Frick"
/m/01y3gr,341285,0,0,0,0,0,18044203,"Elsa Peretti"
/m/03_z03,1032041,0,0,0,0,0,18044207,"Max Factor"
,1124045,0,0,0,0,0,18044209,Noritake
,22027082,0,0,0,0,0,18044211,"Imperial Hotel"
,14998012,0,0,0,74820,0,18044223,"Air France"
,4403153,0,0,3925,71745,0,18044233,"Alessandro Mendini"
/m/03b_lbg,13260110,0,0,0,0,0,18044241,"Ronald E. Kent"
,12955824,0,0,3171,0,0,18044253,"Archibald Knox"
/m/0jr3z,73516,0,0,5876,0,18295219,18044255,"Louis Comfort Tiffany"
/m/06_vfxx,23848751,0,0,0,0,0,18044265,"Dagobert Peche"
/m/0c42hm7,27678671,0,0,0,0,0,18044267,"Gijs Bakker"
,12897797,0,0,0,0,0,18044269,"Charles Eames"
,36260459,0,0,3766,0,0,18044291,"Enzo Mari"
,2911961,0,0,4163,0,0,18044293,"Bruno Munari"
,3190123,0,0,0,31171,0,18044305,"Paco Rabanne"
,23314255,0,0,0,0,0,18044323,"Knoll International"
/m/09gg8vb,25343777,0,0,0,0,0,18044325,"Jens Risom"
/m/0cv752,4920194,0,0,0,0,0,18044327,"Frederick Hurten Rhead"
,36168306,0,0,0,0,0,18044339,"Shreve & Co."
/m/04tkh2,1333837,15842729,0,0,543,0,18044341,"Eric Ravilious"
,1228216,0,0,0,0,0,18044345,Wilkinson
,8999947,0,0,0,0,18296283,18044349,"Tiffany Studios"
/m/0hwm2,68360,0,0,0,0,0,18044355,"René Lalique"
,174502,0,0,0,0,0,18044365,Napier
,2515237,0,0,0,0,0,18044369,"William Frend de Morgan"
,2485779,0,0,0,0,0,18044371,"Moravian Pottery and Tile Works"
/m/02qr8z5,10828342,0,0,4241,0,0,18044395,"Otto Natzler"
/m/08v7hx,3143947,0,0,0,0,0,18044417,"Olaf Skoogfors"
/m/09wh2_,3707753,0,0,4570,11292,0,18044441,"Gaetano Pesce"
,12499720,0,0,0,0,0,18044465,Mennecy
,36141676,0,0,0,0,0,18044469,Volkstedt
/m/04g0kvh,17540770,0,0,3044,0,0,18044485,"Douglas Kelley"
,5624661,0,0,0,0,0,18044487,Laverne
/m/0432n7,1067409,0,0,3842,0,0,18044489,"Roberto Sebastian Matta"
